epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.27193278074264526,2.0463573932647705,1e-05,0.06007442995905876,1.8880798816680908
1,0.32420167326927185,1.981212854385376,1e-05,0.26900583505630493,1.5177496671676636
2,0.31092438101768494,1.985742211341858,1e-05,0.31419458985328674,1.541567087173462
3,0.31277310848236084,1.9610377550125122,1e-05,0.27113237977027893,1.7290059328079224
4,0.30924370884895325,1.9508956670761108,1e-05,0.28335991501808167,1.5865670442581177
5,0.29260504245758057,1.9572029113769531,1e-05,0.27644869685173035,1.5547505617141724
6,0.3043697476387024,1.9419846534729004,1e-05,0.2663476765155792,1.4949716329574585
7,0.3199999928474426,1.9446146488189697,1e-05,0.28282827138900757,1.4641305208206177
8,0.30789914727211,1.9453351497650146,1e-05,0.12971822917461395,2.367048740386963
9,0.31663864850997925,1.919570803642273,1e-05,0.32163742184638977,1.4600006341934204
10,0.31680673360824585,1.9136244058609009,1e-05,0.2700691223144531,1.4564696550369263
11,0.31630250811576843,1.9155224561691284,1e-05,0.2977139949798584,1.4308218955993652
12,0.3289075493812561,1.920085072517395,1e-05,0.2567782998085022,1.7668389081954956
13,0.3122689127922058,1.9296495914459229,1e-05,0.31259968876838684,1.8165203332901
14,0.3021848797798157,1.889220118522644,1e-05,0.28282827138900757,1.5143978595733643
