epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.17652063071727753,4.752865314483643,1e-06,0.07480315119028091,1.6229448318481445
1,0.17056570947170258,4.465182781219482,1e-06,0.08398950099945068,1.6297166347503662
2,0.17396852374076843,4.479328155517578,1e-06,0.07742781937122345,1.6202855110168457
3,0.18034878373146057,4.447859287261963,1e-06,0.07742781937122345,1.6283704042434692
4,0.17907273769378662,4.568299770355225,1e-06,0.048556432127952576,1.636145830154419
5,0.17652063071727753,4.669839382171631,1e-06,0.048556432127952576,1.6385126113891602
6,0.2016163319349289,4.338278293609619,1e-06,0.08398950099945068,1.6470811367034912
7,0.1965121179819107,4.577324390411377,1e-06,0.048556432127952576,1.645094871520996
8,0.1914079189300537,4.426917552947998,1e-06,0.048556432127952576,1.6155321598052979
9,0.19268396496772766,4.4555888175964355,1e-06,0.048556432127952576,1.6525037288665771
10,0.17099106311798096,4.473405361175537,5e-07,0.06955380737781525,1.6458102464675903
11,0.18757975101470947,4.41030216217041,5e-07,0.048556432127952576,1.6463171243667603
12,0.17864738404750824,4.547786235809326,5e-07,0.036745406687259674,1.640303373336792
13,0.17609527707099915,4.615551948547363,5e-07,0.04330708831548691,1.6472598314285278
14,0.1769459843635559,4.444383144378662,5e-07,0.048556432127952576,1.6437857151031494
15,0.18757975101470947,4.419365406036377,5e-07,0.06299212574958801,1.6472573280334473
16,0.1969374716281891,4.524760723114014,5e-07,0.04593176022171974,1.636427402496338
17,0.18757975101470947,4.45294189453125,5e-07,0.048556432127952576,1.6433790922164917
18,0.2062951922416687,4.273014545440674,2.5e-07,0.048556432127952576,1.6467982530593872
19,0.204168438911438,4.325572967529297,2.5e-07,0.048556432127952576,1.6492817401885986
